RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,MapDescriptionTitle,MapDescription,MapDescriptionSource,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTGeometryReasoningSummary,GPTEntityReasoningSummary,GPTEntityDecisiveRule,GPTError,GPTConfidence,GPTGeometryConfidence,GPTEntityConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,Woningcorporatiebezit 2020 Metropoolregio Amsterdam,"Deze interactieve website van de woningen van corporaties in de Metropoolregio Amsterdam is gelanceerd op 1 juli 2019 op de Jaarbijeenkomst van de Amsterdamse Federatie van Woningcorporaties (AFWC) https://www.afwc.nl Medio 2020 is het corporatiebezit op de kaart geactualiseerd (peildatum 1-1-2020). 

De website is de opvolger van de papieren Atlas Sociale Woningbouw, waarvan de eerste editie verscheen in 1992, ter gelegenheid van het 75-jarig jubileum van de AFWC. Deze negende editie (2020) verschijnt net als de vorige editie (2019) alleen als website en niet op papier. Iedere corporatie heeft een eigen kleur. Daarbij is zoveel mogelijk aangesloten bij de kleuren in de eerdere edities van de Atlas.

De website 
Woningcorporatiebezit 2020
is tot stand gekomen in opdracht van de Amsterdamse Federatie van Woningcorporaties en vervaardigd door de afdeling Ruimte en Duurzaamheid van de gemeente Amsterdam, team Beeld en Data. Vanaf editie 2019 is het corporatiebezit van 30 woningcorporaties in de gehele Metropoolregio Amsterdam afgebeeld. De editie daarvoor (2017) bevatte Amsterdam, Zaanstreek-Waterland, Amstel-Meerlanden en Almere. Vanaf 2019 is de kaart uitgebreid met Zuid-Kennemerland, IJmond, Gooi- en Vechtstreek en Lelystad.

Op de website staan zo`n 400.000 woningen aangegeven in de gemeenten Aalsmeer, Almere, Amstelveen, Amsterdam, Beemster, Beverwijk, Blaricum, Bloemendaal, Diemen, Edam-Volendam, Gooise Meren, Haarlem, Haarlemmermeer, Heemskerk, Heemstede, Hilversum, Huizen, Landsmeer, Laren, Lelystad, Oostzaan, Ouder-Amstel, Purmerend, Uithoorn, Velsen, Waterland, Weesp, Wijdemeren, Wormerland, Zaanstad en Zandvoort. Het bezit van de aangesloten corporaties buiten deze gemeenten staat niet op de kaart. 

Naast de kaart van het 
corporatiebezit
in verschillende kleuren en met een filter op het 
percentage adressen
van de betreffende corporatie per deel van een blok, is er ook een aparte 
bouwperiodekaart
.


Percentage corporatieadressen

De kaart corporatieadressen bevat per (deel van een) bouwblok het percentage woningen dat de betreffende corporatie in bezit heeft. De overige adressen kunnen koopwoningen zijn of particuliere huurwoningen. Als het percentage lager ligt dan 100, wil het niet per definitie zeggen dat de corporatie woningen heeft verkocht. Het blok kan als gemengd blok van huur- en koopwoningen zijn opgeleverd, of er hebben al vanaf de start naast corporatiewoningen, particuliere huurwoningen in het blok gezeten. Bijvoorbeeld omdat de corporatie panden heeft aangekocht in voormalig particulier bezit. De kaart is dus slechts als indicatie te gebruiken. De percentages worden alleen afgebeeld bij woonblokken waarin uitsluitend zelfstandige woningen voorkomen. Bij blokken met onzelfstandige eenheden wordt het percentage niet vermeld. Deze komen namelijk als losse eenheid voor in de databank van de corporaties, terwijl deze in de BAG vaak gezamenlijk een BAG-object vormen. Meenemen van de onzelfstandige eenheden zou dan tot percentages boven de 100 procent kunnen leiden.


Bouwperiodekaart

Bij het 90-jarig bestaan van de Amsterdamse Federatie van Woningcorporaties in 2007 werd een speciale bouwjarenkaart uitgebracht met zeven bouwperioden. Ter gelegenheid van het 100-jarige bestaan van de Federatie in 2017 is deze kaart aangevuld met de periode 2008-2016 en uitgebreid met de regio. De acht bouwperioden hebben niet dezelfde lengte, maar markeren omslagen in bouwstijl of bijzondere gebeurtenissen. Voor de kaart 2020 is de laatste bouwperiode verlengd tot en met 2019.

• Vóór 1909: De voorlopers van de woningcorporaties
• 1909 - 1918: De eerste woningwetwoningen
• 1919 - 1945: Periode `20 – `40
• 1946 - 1966: Vroeg naoorlogse stadsuitbreidingen
• 1967 - 1975: Hoogbouw
• 1976 - 1989: Stadsvernieuwing en uitbreiding
• 1990 - 2007: Differentiatie en menging in hoge dichtheid
• 2008 – 2019: Transformatie, duurzaamheid en tijdelijkheid als kans


Bronvermelding

Bron corporatiebezit: Databank, Amsterdamse Federatie van Woningcorporaties / Platform Woningcorporaties Noordvleugel Randstad (PWNR), peildatum 1-1-2020
Aangevuld met gegevens van de corporaties in de Metropoolregio Amsterdam die niet voorkomen in de databank van de AFWC.

Bron totaal aantal adressen Kadaster/BAG. Bouwjaar en bouwperiode zijn afkomstig van de betreffende corporatie aangevuld met de gegevens uit het Kadaster/BAG (panden met een onbekend bouwjaar worden niet ingekleurd).

Aan deze kaart kunnen geen rechten worden ontleend.",https://maps.amsterdam.nl/afwc_2020,PlainVectorRegion,ObjectDS,"Geometry: The dataset represents individual building blocks or housing property units which are not exhaustive administrative partitions or a contiguous tessellation of the entire map area. The polygons are discrete, scattered entities that do not form a gapless grid, confirming PlainVectorRegion. | Entity: The layer maps specific housing blocks owned by housing associations. While it contains numeric attributes like percentages, these describe properties of the blocks (the objects) rather than the magnitude being the primary phenomenon. The blocks themselves are the mapped entities.","The dataset represents individual building blocks or housing property units which are not exhaustive administrative partitions or a contiguous tessellation of the entire map area. The polygons are discrete, scattered entities that do not form a gapless grid, confirming PlainVectorRegion.","The layer maps specific housing blocks owned by housing associations. While it contains numeric attributes like percentages, these describe properties of the blocks (the objects) rather than the magnitude being the primary phenomenon. The blocks themselves are the mapped entities.",Region Q7 ObjectDS,,0.9,0.9,0.9,V3_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains 425 features all of which are points representing specific archaeological find spots, consistent with the geometry_type_counts and the description of locations where findings occurred. | Entity: The map layer represents archaeological sites and finds, which are discrete, identifiable, real-world objects or locations of interest. The points function as markers for specific sites such as cesspits (beerputten) or individual finds, rather than measuring a phenomenon or serving as a network.","The dataset contains 425 features all of which are points representing specific archaeological find spots, consistent with the geometry_type_counts and the description of locations where findings occurred.","The map layer represents archaeological sites and finds, which are discrete, identifiable, real-world objects or locations of interest. The points function as markers for specific sites such as cesspits (beerputten) or individual finds, rather than measuring a phenomenon or serving as a network.",Region Q7 ObjectDS,,1.0,1.0,1.0,V3_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains 92 features that are strictly points, representing specific archaeological locations or findings, as confirmed by both the geometry_type_counts and the map description. | Entity: The dataset maps archaeological finds (objects like pots, tools, or shards) at specific locations. These are discrete, identifiable, real-world assets or historical objects rather than samples of a continuous phenomenon, events, or a connected network.","The dataset contains 92 features that are strictly points, representing specific archaeological locations or findings, as confirmed by both the geometry_type_counts and the map description.","The dataset maps archaeological finds (objects like pots, tools, or shards) at specific locations. These are discrete, identifiable, real-world assets or historical objects rather than samples of a continuous phenomenon, events, or a connected network.",Region Q7 ObjectDS,,1.0,1.0,1.0,V3_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PlainVectorRegion,ObjectDS,"Geometry: The dataset represents specific archaeological sites (locations where findings have been documented) rather than a continuous partition of the city into administrative or functional zones. The low shared boundary ratio and isolated nature of the polygons confirm these are discrete study areas, not a tessellation. | Entity: The map features represent specific archaeological sites (locations where archaeological findings have been identified). These are discrete, identifiable, real-world sites documented by the municipality, fitting the definition of ObjectDS. While the geometry is 'PlainVectorRegion', these areas are identifiable bounded places or project sites rather than statistical units, exhaustive thematic coverage, or abstract phenomenon patches.","The dataset represents specific archaeological sites (locations where findings have been documented) rather than a continuous partition of the city into administrative or functional zones. The low shared boundary ratio and isolated nature of the polygons confirm these are discrete study areas, not a tessellation.","The map features represent specific archaeological sites (locations where archaeological findings have been identified). These are discrete, identifiable, real-world sites documented by the municipality, fitting the definition of ObjectDS. While the geometry is 'PlainVectorRegion', these areas are identifiable bounded places or project sites rather than statistical units, exhaustive thematic coverage, or abstract phenomenon patches.",Region Q7 ObjectDS,,0.925,0.95,0.9,V3_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,Barbecueën in parken en plantsoenen,"U ziet op deze kaart waar u wel en niet mag barbecueën. 
Op de rode plekken mag u niet barbecueën.
Op de gele plekken gebruikt u de aangewezen barbecueplekken.
U vindt alle barbecueregels op de website van de gemeente",https://maps.amsterdam.nl/bbq,PlainVectorRegion,PatchDS,"Geometry: The dataset represents specific locations (parks and designated spots) where barbecuing is allowed or restricted, rather than a comprehensive partition of the city. The polygons are isolated, consistent with PlainVectorRegion. | Entity: The map defines areas with specific barbecue regulations (permitted, prohibited, or restricted). These polygons represent zones where policies apply rather than discrete objects or a full-area classification, fitting the PatchDS definition.","The dataset represents specific locations (parks and designated spots) where barbecuing is allowed or restricted, rather than a comprehensive partition of the city. The polygons are isolated, consistent with PlainVectorRegion.","The map defines areas with specific barbecue regulations (permitted, prohibited, or restricted). These polygons represent zones where policies apply rather than discrete objects or a full-area classification, fitting the PatchDS definition.",Region Q9 PatchDS,,0.95,1.0,0.9,V3_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,Cultuurhistorische waarden,"De geschiedenis van een gebied kan een inspiratiebron zijn voor de ontwikkeling van de stad. Op deze kaart zijn gebiedsgericht cultuurhistorische waarden en historische stedenbouwkundige ontwikkelingen in beeld gebracht.

Cultuurhistorische waarden per gebied
Bij cultuurhistorische waarden gaat het over sporen, objecten, patronen en structuren die zichtbaar of niet zichtbaar onderdeel uitmaken van onze leefomgeving en een beeld geven van een historische situatie of ontwikkeling. In veel gevallen bepalen deze cultuurhistorische waarden de identiteit van een plek of gebied. Ze dragen bij aan een aantrekkelijke woonomgeving en vestigingsklimaat en bieden aanknopingspunten voor toekomstige ontwikkelingen. Het is daarom van belang deze cultuurhistorische waarden te betrekken in de planvorming en mee te wegen in de besluitvorming over de inrichting van een gebied (via bijvoorbeeld een bestemmingsplan, stedenbouwkundig plan of herinrichtingsplan voor de openbare ruimte). 

Per gebied kan doorgeklikt worden naar meer informatie over de historisch stedenbouwkundige ontwikkeling van een gebied en de bovengrondse cultuurhistorische waarden. Deze informatie is afkomstig uit de Cultuurhistorische Verkenningen (CHV’s) die door Bureau Monumenten & Archeologie zijn gemaakt. De CHV’s zijn meestal gemaakt in het kader van de actualisatie van een bestemmingsplan. Dit verklaart waarom de CHV’s nog niet heel Amsterdam beslaan en waarom de grenzen niet altijd overeenkomen met de historische bouwperiodes waarin de stad zich ontwikkelde. 

Gebieden met beschermde status
Een aantal gebieden in Amsterdam is zodanig van cultuurhistorische waarde dat daaraan een beschermde status is toegekend: UNESCO Werelderfgoed en rijks en gemeentelijk beschermde stads- en dorpsgezichten. De begrenzing van deze beschermde gebieden is op deze kaart te vinden met daaraan gekoppeld meer informatie. 

Bovengronds en ondergronds
De kaart is dynamisch en wordt regelmatig aangevuld met nieuwe informatie over de bovengrondse cultuurhistorie van de stad. Voor ondergrondse cultuurhistorische waarden kunt u terecht op de archeologische kaart: http://maps.amsterdam.nl/archeologie.

Bron beelden: BMA, Beeldbank Stadsarchief Amsterdam of zoals vermeld in de rapportages die u kunt downloaden.",https://maps.amsterdam.nl/cultuurhistorie,PlainVectorRegion,PatchDS,"Geometry: The dataset contains polygons representing protected conservation areas (stads- en dorpsgezichten). These are specific designated zones rather than a continuous partition of the city, and the topology hints indicate low shared boundaries and isolated polygons, consistent with PlainVectorRegion. | Entity: The map depicts 'protected cityscape/village areas' (beschermde stads- en dorpsgezichten). These are designated policy zones where specific heritage regulations apply, rather than discrete managed objects or a full-area thematic coverage. They act as bounded areas of applicability.","The dataset contains polygons representing protected conservation areas (stads- en dorpsgezichten). These are specific designated zones rather than a continuous partition of the city, and the topology hints indicate low shared boundaries and isolated polygons, consistent with PlainVectorRegion.","The map depicts 'protected cityscape/village areas' (beschermde stads- en dorpsgezichten). These are designated policy zones where specific heritage regulations apply, rather than discrete managed objects or a full-area thematic coverage. They act as bounded areas of applicability.",Region Q9 PatchDS,,0.9,0.9,0.9,V3_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,Wilde bijen,"Wilde bijen

Wilde bijen zijn in 2014, 2015 en 2016 op een aantal locaties in Amsterdam geïnventariseerd. Dit is een herhaling van het onderzoek van 1998. Een uitgebreid verslag van de bevindingen van deze twee onderzoeken kunt u binnenkort hier vinden. In 2017 is op vijftien plaatsen in het Amsterdamse bos waargenomen. Het verslag vindt u hier.
Ook in 2017 is op een aantal plaatsen in Nieuwwest geïnventariseerd. Hier vindt u het bijbehorende verslag. 
In 2019 is er in elf stadsparken geïnventariseerd. Het verslag van dit onderzoek vindt u hier.",https://maps.amsterdam.nl/bijen,PointDS,PointMeasuresDS,"Geometry: The dataset represents specific observation locations of wild bees in Amsterdam. The geometry_type_counts confirms exclusively 'Point' type, and the MapDescription refers to inventories taken at specific locations. | Entity: The map displays point locations where specific ecological observations (wild bee inventories) were conducted across different years. Each point represents an observation/measurement event of species presence at a specific location, fitting the definition of a point-sampled scientific measurement dataset.","The dataset represents specific observation locations of wild bees in Amsterdam. The geometry_type_counts confirms exclusively 'Point' type, and the MapDescription refers to inventories taken at specific locations.","The map displays point locations where specific ecological observations (wild bee inventories) were conducted across different years. Each point represents an observation/measurement event of species presence at a specific location, fitting the definition of a point-sampled scientific measurement dataset.",Point priority check Q3,,0.9,1.0,0.8,V3_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,Honingbijen,"Op elke locatie staan een x-aantal bijenkasten = bijenvolken.

De dataset voor deze kaart wordt regelmatig 'bijgewerkt'. 
U kunt zelf wijzigingen of aanvullingen mailen naar onderstaand contactpersoon.",https://maps.amsterdam.nl/honingbijen,PointDS,ObjectDS,"Geometry: The dataset contains 111 features, all of which are points representing honey bee hive locations, as indicated by the geometry_type_counts and the map description. | Entity: The map represents locations of beehives/bee colonies (bijenkasten/bijenvolken). These are discrete, identifiable managed assets or facilities. The numeric counts provided (Aantal_kasten, Aantal_volken) are attributes of these facilities, not the primary phenomenon being measured as in an AmountDS layer.","The dataset contains 111 features, all of which are points representing honey bee hive locations, as indicated by the geometry_type_counts and the map description.","The map represents locations of beehives/bee colonies (bijenkasten/bijenvolken). These are discrete, identifiable managed assets or facilities. The numeric counts provided (Aantal_kasten, Aantal_volken) are attributes of these facilities, not the primary phenomenon being measured as in an AmountDS layer.","Branch A, Q4A: A distinct, countable, real-world thing, place, facility, asset, address, organization, or named object",,0.95,1.0,0.9,V3_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,Bodemkwaliteit,"De Bodemkwaliteitskaart geeft informatie over de diffuse bodemkwaliteit in zones.
Binnen een zone is de gemiddelde kwaliteit min of meer gelijk, terwijl er tussen zones duidelijke verschillen in kwaliteit kunnen zijn.
De kaarten worden in Amsterdam gebruikt voor het bepalen van de mogelijkheden van hergebruik voor vrijkomende grond of gekeurde grond.
Ze zijn bedoeld voor iedereen die van plan is grond toe te passen in Amsterdam (stadsdelen, aannemers, adviesbureau`s, etc.). 

De kaart geldt niet voor lokaties die historisch zijn belast door puntbronnen (bijv. fabriekslokaties of benzinestations).
Daarom dient vóór het gebruik van de kaart altijd een historisch onderzoek te worden uitgevoerd om te weten of de herkomst- of toepassingslokatie niet historisch belast is.",https://maps.amsterdam.nl/bodemkwaliteit,VectorTessellation,CoverageDS,"Geometry: The dataset represents soil quality zones that partition the study area to provide complete coverage for land-use and re-use planning. The high number of adjacent polygon pairs and significant shared boundary ratio confirm a tessellated structure. | Entity: The map displays zones with specific soil quality and function characteristics, providing a full-area thematic classification for soil management purposes. The polygons represent an exhaustive classification of the soil quality across the city area, fitting the definition of a thematic coverage layer.",The dataset represents soil quality zones that partition the study area to provide complete coverage for land-use and re-use planning. The high number of adjacent polygon pairs and significant shared boundary ratio confirm a tessellated structure.,"The map displays zones with specific soil quality and function characteristics, providing a full-area thematic classification for soil management purposes. The polygons represent an exhaustive classification of the soil quality across the city area, fitting the definition of a thematic coverage layer.",Region Q5 CoverageDS,,0.95,1.0,0.9,V3_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,Bomen,"Zie bomen.amsterdam.nl voor uitgebreide informatie over de bomen.


De weergave van bomen op deze kaart is niet `real-time`. Op deze kaart kunnen bomen staan die inmiddels zijn omgewaaid of gekapt. In vrijwel alle gevallen wordt een omgewaaide of gekapte boom herplant. Zodra de boom geplant is en onze inspecteurs weer hun ronde doen (om de drie jaar) komt de boom weer op de kaart.

Deze Maps-kaart maakt gebruik van een Web Map Service (WMS) van het gemeentelijk Datapunt. Deze WMS is verbonden met de dataset van het gemeentelijk beheersysteem GISIB. De kaart van het Datapunt is identiek aan deze kaart op Maps Amsterdam.",https://maps.amsterdam.nl/bomen,PointDS,ObjectDS,"Geometry: The dataset represents individual trees at specific locations, and the geometry_type_counts confirms that all features are points. | Entity: Each point represents an individual, discrete, real-world tree asset managed by the municipality, identified by a unique Boomnummer (tree number). The descriptive attributes like species, height, and planting year describe the tree object itself, not a continuous phenomenon or a network system.","The dataset represents individual trees at specific locations, and the geometry_type_counts confirms that all features are points.","Each point represents an individual, discrete, real-world tree asset managed by the municipality, identified by a unique Boomnummer (tree number). The descriptive attributes like species, height, and planting year describe the tree object itself, not a continuous phenomenon or a network system.",Point Branch Q4A (ObjectDS),,1.0,1.0,1.0,V3_gemini
