RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,MapDescriptionTitle,MapDescription,MapDescriptionSource,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTGeometryReasoningSummary,GPTEntityReasoningSummary,GPTEntityDecisiveRule,GPTError,GPTConfidence,GPTGeometryConfidence,GPTEntityConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,Woningcorporatiebezit 2020 Metropoolregio Amsterdam,"Deze interactieve website van de woningen van corporaties in de Metropoolregio Amsterdam is gelanceerd op 1 juli 2019 op de Jaarbijeenkomst van de Amsterdamse Federatie van Woningcorporaties (AFWC) https://www.afwc.nl Medio 2020 is het corporatiebezit op de kaart geactualiseerd (peildatum 1-1-2020). 

De website is de opvolger van de papieren Atlas Sociale Woningbouw, waarvan de eerste editie verscheen in 1992, ter gelegenheid van het 75-jarig jubileum van de AFWC. Deze negende editie (2020) verschijnt net als de vorige editie (2019) alleen als website en niet op papier. Iedere corporatie heeft een eigen kleur. Daarbij is zoveel mogelijk aangesloten bij de kleuren in de eerdere edities van de Atlas.

De website 
Woningcorporatiebezit 2020
is tot stand gekomen in opdracht van de Amsterdamse Federatie van Woningcorporaties en vervaardigd door de afdeling Ruimte en Duurzaamheid van de gemeente Amsterdam, team Beeld en Data. Vanaf editie 2019 is het corporatiebezit van 30 woningcorporaties in de gehele Metropoolregio Amsterdam afgebeeld. De editie daarvoor (2017) bevatte Amsterdam, Zaanstreek-Waterland, Amstel-Meerlanden en Almere. Vanaf 2019 is de kaart uitgebreid met Zuid-Kennemerland, IJmond, Gooi- en Vechtstreek en Lelystad.

Op de website staan zo`n 400.000 woningen aangegeven in de gemeenten Aalsmeer, Almere, Amstelveen, Amsterdam, Beemster, Beverwijk, Blaricum, Bloemendaal, Diemen, Edam-Volendam, Gooise Meren, Haarlem, Haarlemmermeer, Heemskerk, Heemstede, Hilversum, Huizen, Landsmeer, Laren, Lelystad, Oostzaan, Ouder-Amstel, Purmerend, Uithoorn, Velsen, Waterland, Weesp, Wijdemeren, Wormerland, Zaanstad en Zandvoort. Het bezit van de aangesloten corporaties buiten deze gemeenten staat niet op de kaart. 

Naast de kaart van het 
corporatiebezit
in verschillende kleuren en met een filter op het 
percentage adressen
van de betreffende corporatie per deel van een blok, is er ook een aparte 
bouwperiodekaart
.


Percentage corporatieadressen

De kaart corporatieadressen bevat per (deel van een) bouwblok het percentage woningen dat de betreffende corporatie in bezit heeft. De overige adressen kunnen koopwoningen zijn of particuliere huurwoningen. Als het percentage lager ligt dan 100, wil het niet per definitie zeggen dat de corporatie woningen heeft verkocht. Het blok kan als gemengd blok van huur- en koopwoningen zijn opgeleverd, of er hebben al vanaf de start naast corporatiewoningen, particuliere huurwoningen in het blok gezeten. Bijvoorbeeld omdat de corporatie panden heeft aangekocht in voormalig particulier bezit. De kaart is dus slechts als indicatie te gebruiken. De percentages worden alleen afgebeeld bij woonblokken waarin uitsluitend zelfstandige woningen voorkomen. Bij blokken met onzelfstandige eenheden wordt het percentage niet vermeld. Deze komen namelijk als losse eenheid voor in de databank van de corporaties, terwijl deze in de BAG vaak gezamenlijk een BAG-object vormen. Meenemen van de onzelfstandige eenheden zou dan tot percentages boven de 100 procent kunnen leiden.


Bouwperiodekaart

Bij het 90-jarig bestaan van de Amsterdamse Federatie van Woningcorporaties in 2007 werd een speciale bouwjarenkaart uitgebracht met zeven bouwperioden. Ter gelegenheid van het 100-jarige bestaan van de Federatie in 2017 is deze kaart aangevuld met de periode 2008-2016 en uitgebreid met de regio. De acht bouwperioden hebben niet dezelfde lengte, maar markeren omslagen in bouwstijl of bijzondere gebeurtenissen. Voor de kaart 2020 is de laatste bouwperiode verlengd tot en met 2019.

• Vóór 1909: De voorlopers van de woningcorporaties
• 1909 - 1918: De eerste woningwetwoningen
• 1919 - 1945: Periode `20 – `40
• 1946 - 1966: Vroeg naoorlogse stadsuitbreidingen
• 1967 - 1975: Hoogbouw
• 1976 - 1989: Stadsvernieuwing en uitbreiding
• 1990 - 2007: Differentiatie en menging in hoge dichtheid
• 2008 – 2019: Transformatie, duurzaamheid en tijdelijkheid als kans


Bronvermelding

Bron corporatiebezit: Databank, Amsterdamse Federatie van Woningcorporaties / Platform Woningcorporaties Noordvleugel Randstad (PWNR), peildatum 1-1-2020
Aangevuld met gegevens van de corporaties in de Metropoolregio Amsterdam die niet voorkomen in de databank van de AFWC.

Bron totaal aantal adressen Kadaster/BAG. Bouwjaar en bouwperiode zijn afkomstig van de betreffende corporatie aangevuld met de gegevens uit het Kadaster/BAG (panden met een onbekend bouwjaar worden niet ingekleurd).

Aan deze kaart kunnen geen rechten worden ontleend.",https://maps.amsterdam.nl/afwc_2020,PlainVectorRegion,ObjectDS,"Geometry: The layer represents housing association property at the building block level across multiple municipalities. While it covers a large area, it represents specific property ownership rather than a comprehensive administrative or statistical partition of the entire territory (tessellation). The provided topology hints also lean towards PlainVectorRegion. | Entity: The map displays housing association properties (corporatiebezit) as polygon features. These are distinct, identifiable assets/facilities managed by housing corporations, rather than statistical reporting units, thematic coverage, or abstract phenomenon patches. Although the layer contains numeric attributes (e.g., percentages, counts), the primary focus is the mapping of specific real-world housing blocks owned by these corporations.","The layer represents housing association property at the building block level across multiple municipalities. While it covers a large area, it represents specific property ownership rather than a comprehensive administrative or statistical partition of the entire territory (tessellation). The provided topology hints also lean towards PlainVectorRegion.","The map displays housing association properties (corporatiebezit) as polygon features. These are distinct, identifiable assets/facilities managed by housing corporations, rather than statistical reporting units, thematic coverage, or abstract phenomenon patches. Although the layer contains numeric attributes (e.g., percentages, counts), the primary focus is the mapping of specific real-world housing blocks owned by these corporations.",Region Q7 ObjectDS,,0.9,0.9,0.9,V3_NEWDATA_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains only Point features representing specific archaeological sites and cesspits, confirmed by the geometry_type_counts. | Entity: The map represents discrete archaeological sites (cesspits, find locations) which are identifiable assets managed by the city. Each point corresponds to a specific location with associated descriptive metadata like address, photo, and findings, making them real-world object entities rather than samples, zones, or network components.","The dataset contains only Point features representing specific archaeological sites and cesspits, confirmed by the geometry_type_counts.","The map represents discrete archaeological sites (cesspits, find locations) which are identifiable assets managed by the city. Each point corresponds to a specific location with associated descriptive metadata like address, photo, and findings, making them real-world object entities rather than samples, zones, or network components.",Region Q7 ObjectDS,,1.0,1.0,1.0,V3_NEWDATA_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains 92 features that are strictly defined as 'Point' types in the geometry_type_counts, representing archaeological find locations. | Entity: The map represents discrete archaeological find sites ('vindplaatsen'), which are distinct real-world objects or locations of assets, rather than a continuous field, a statistical network, or a measured value layer. The metadata explicitly describes these as specific locations where archaeological objects and information can be accessed.","The dataset contains 92 features that are strictly defined as 'Point' types in the geometry_type_counts, representing archaeological find locations.","The map represents discrete archaeological find sites ('vindplaatsen'), which are distinct real-world objects or locations of assets, rather than a continuous field, a statistical network, or a measured value layer. The metadata explicitly describes these as specific locations where archaeological objects and information can be accessed.",Region Q7 ObjectDS,,1.0,1.0,1.0,V3_NEWDATA_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PlainVectorRegion,ObjectDS,"Geometry: The dataset represents specific archaeological site locations delineated as polygons. These do not form a exhaustive partition of the Amsterdam area (tessellation), but rather a collection of scattered site footprints as confirmed by the low shared boundary ratio and low spatial coverage. | Entity: The map represents discrete archaeological sites (vindplaatsen), which are identified by names, specific addresses, and archaeological context. These are identifiable real-world entities/managed places rather than mere policy zones, coverage areas, or statistical units.","The dataset represents specific archaeological site locations delineated as polygons. These do not form a exhaustive partition of the Amsterdam area (tessellation), but rather a collection of scattered site footprints as confirmed by the low shared boundary ratio and low spatial coverage.","The map represents discrete archaeological sites (vindplaatsen), which are identified by names, specific addresses, and archaeological context. These are identifiable real-world entities/managed places rather than mere policy zones, coverage areas, or statistical units.",Region Q7 ObjectDS,,0.95,0.95,0.95,V3_NEWDATA_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,PatchDS,Barbecueën in parken en plantsoenen,"U ziet op deze kaart waar u wel en niet mag barbecueën. 
Op de rode plekken mag u niet barbecueën.
Op de gele plekken gebruikt u de aangewezen barbecueplekken.
U vindt alle barbecueregels op de website van de gemeente",https://maps.amsterdam.nl/bbq,PlainVectorRegion,PatchDS,"Geometry: The dataset contains polygons representing specific barbecue areas. These are discrete, isolated locations rather than a full partition or a tiled grid of the city, fitting the PlainVectorRegion classification. | Entity: The map delineates areas where specific barbecue policies (restrictions, prohibitions, or permissions) apply. These polygons represent policy-defined zones rather than discrete physical facilities or exhaustive land-use classifications, making PatchDS the most accurate entity type.","The dataset contains polygons representing specific barbecue areas. These are discrete, isolated locations rather than a full partition or a tiled grid of the city, fitting the PlainVectorRegion classification.","The map delineates areas where specific barbecue policies (restrictions, prohibitions, or permissions) apply. These polygons represent policy-defined zones rather than discrete physical facilities or exhaustive land-use classifications, making PatchDS the most accurate entity type.",Region Q9 PatchDS,,0.95,1.0,0.9,V3_NEWDATA_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,PatchDS,Cultuurhistorische waarden,"De geschiedenis van een gebied kan een inspiratiebron zijn voor de ontwikkeling van de stad. Op deze kaart zijn gebiedsgericht cultuurhistorische waarden en historische stedenbouwkundige ontwikkelingen in beeld gebracht.

Cultuurhistorische waarden per gebied
Bij cultuurhistorische waarden gaat het over sporen, objecten, patronen en structuren die zichtbaar of niet zichtbaar onderdeel uitmaken van onze leefomgeving en een beeld geven van een historische situatie of ontwikkeling. In veel gevallen bepalen deze cultuurhistorische waarden de identiteit van een plek of gebied. Ze dragen bij aan een aantrekkelijke woonomgeving en vestigingsklimaat en bieden aanknopingspunten voor toekomstige ontwikkelingen. Het is daarom van belang deze cultuurhistorische waarden te betrekken in de planvorming en mee te wegen in de besluitvorming over de inrichting van een gebied (via bijvoorbeeld een bestemmingsplan, stedenbouwkundig plan of herinrichtingsplan voor de openbare ruimte). 

Per gebied kan doorgeklikt worden naar meer informatie over de historisch stedenbouwkundige ontwikkeling van een gebied en de bovengrondse cultuurhistorische waarden. Deze informatie is afkomstig uit de Cultuurhistorische Verkenningen (CHV’s) die door Bureau Monumenten & Archeologie zijn gemaakt. De CHV’s zijn meestal gemaakt in het kader van de actualisatie van een bestemmingsplan. Dit verklaart waarom de CHV’s nog niet heel Amsterdam beslaan en waarom de grenzen niet altijd overeenkomen met de historische bouwperiodes waarin de stad zich ontwikkelde. 

Gebieden met beschermde status
Een aantal gebieden in Amsterdam is zodanig van cultuurhistorische waarde dat daaraan een beschermde status is toegekend: UNESCO Werelderfgoed en rijks en gemeentelijk beschermde stads- en dorpsgezichten. De begrenzing van deze beschermde gebieden is op deze kaart te vinden met daaraan gekoppeld meer informatie. 

Bovengronds en ondergronds
De kaart is dynamisch en wordt regelmatig aangevuld met nieuwe informatie over de bovengrondse cultuurhistorie van de stad. Voor ondergrondse cultuurhistorische waarden kunt u terecht op de archeologische kaart: http://maps.amsterdam.nl/archeologie.

Bron beelden: BMA, Beeldbank Stadsarchief Amsterdam of zoals vermeld in de rapportages die u kunt downloaden.",https://maps.amsterdam.nl/cultuurhistorie,PlainVectorRegion,PatchDS,"Geometry: The dataset contains polygons representing protected conservation areas in Amsterdam. These areas are specific, distinct historical zones rather than a continuous partition or grid, and the topological data shows no shared boundaries, confirming them as isolated features. | Entity: The map displays 'Conservation areas' (Beschermde stads- en dorpsgezichten), which are designated zones where specific legal protection and policy constraints apply. While these areas are named (like 'Durgerdam'), they are conceptually demarcated policy zones rather than discrete physical facilities or managed assets that lose their identity if divided. Therefore, they fall under PatchDS as defined in the entity classification tree.","The dataset contains polygons representing protected conservation areas in Amsterdam. These areas are specific, distinct historical zones rather than a continuous partition or grid, and the topological data shows no shared boundaries, confirming them as isolated features.","The map displays 'Conservation areas' (Beschermde stads- en dorpsgezichten), which are designated zones where specific legal protection and policy constraints apply. While these areas are named (like 'Durgerdam'), they are conceptually demarcated policy zones rather than discrete physical facilities or managed assets that lose their identity if divided. Therefore, they fall under PatchDS as defined in the entity classification tree.",Region Q9 PatchDS,,0.9,0.9,0.9,V3_NEWDATA_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,Wilde bijen,"Wilde bijen

Wilde bijen zijn in 2014, 2015 en 2016 op een aantal locaties in Amsterdam geïnventariseerd. Dit is een herhaling van het onderzoek van 1998. Een uitgebreid verslag van de bevindingen van deze twee onderzoeken kunt u binnenkort hier vinden. In 2017 is op vijftien plaatsen in het Amsterdamse bos waargenomen. Het verslag vindt u hier.
Ook in 2017 is op een aantal plaatsen in Nieuwwest geïnventariseerd. Hier vindt u het bijbehorende verslag. 
In 2019 is er in elf stadsparken geïnventariseerd. Het verslag van dit onderzoek vindt u hier.",https://maps.amsterdam.nl/bijen,PointDS,ObjectDS,"Geometry: The dataset contains inventory locations where wild bees were observed, represented as points, and the geometry_type_counts confirms exclusively Point geometries. | Entity: The map represents specific inventory sites (parks, streets, locations) where bee inventories were conducted. Each point identifies a discrete location where these observations took place, making it a collection of sites or facilities rather than a continuous measurement of a phenomenon or a statistical unit.","The dataset contains inventory locations where wild bees were observed, represented as points, and the geometry_type_counts confirms exclusively Point geometries.","The map represents specific inventory sites (parks, streets, locations) where bee inventories were conducted. Each point identifies a discrete location where these observations took place, making it a collection of sites or facilities rather than a continuous measurement of a phenomenon or a statistical unit.",BRANCH A Q4 A (ObjectDS),,0.9,1.0,0.8,V3_NEWDATA_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,Honingbijen,"Op elke locatie staan een x-aantal bijenkasten = bijenvolken.

De dataset voor deze kaart wordt regelmatig 'bijgewerkt'. 
U kunt zelf wijzigingen of aanvullingen mailen naar onderstaand contactpersoon.",https://maps.amsterdam.nl/honingbijen,PointDS,ObjectDS,"Geometry: The dataset contains point geometry representing locations of beehives, which is confirmed by the geometry_type_counts and the description stating each point corresponds to a location. | Entity: The map represents physical locations of beehives/bee colonies. Each point is a facility or site containing an object (hives). While numeric attributes (number of colonies) are present, they are properties of these sites, not the primary map phenomenon itself, making ObjectDS the correct classification.","The dataset contains point geometry representing locations of beehives, which is confirmed by the geometry_type_counts and the description stating each point corresponds to a location.","The map represents physical locations of beehives/bee colonies. Each point is a facility or site containing an object (hives). While numeric attributes (number of colonies) are present, they are properties of these sites, not the primary map phenomenon itself, making ObjectDS the correct classification.",Point Amount check: A,,0.95,1.0,0.9,V3_NEWDATA_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,Bodemkwaliteit,"De Bodemkwaliteitskaart geeft informatie over de diffuse bodemkwaliteit in zones.
Binnen een zone is de gemiddelde kwaliteit min of meer gelijk, terwijl er tussen zones duidelijke verschillen in kwaliteit kunnen zijn.
De kaarten worden in Amsterdam gebruikt voor het bepalen van de mogelijkheden van hergebruik voor vrijkomende grond of gekeurde grond.
Ze zijn bedoeld voor iedereen die van plan is grond toe te passen in Amsterdam (stadsdelen, aannemers, adviesbureau`s, etc.). 

De kaart geldt niet voor lokaties die historisch zijn belast door puntbronnen (bijv. fabriekslokaties of benzinestations).
Daarom dient vóór het gebruik van de kaart altijd een historisch onderzoek te worden uitgevoerd om te weten of de herkomst- of toepassingslokatie niet historisch belast is.",https://maps.amsterdam.nl/bodemkwaliteit,VectorTessellation,CoverageDS,"Geometry: The dataset represents a soil quality map divided into zones that cover the area. The metadata and polygon topology hints confirm that these zones partition the study area without overlap, characteristic of a tessellation. | Entity: The map depicts soil quality zones across Amsterdam, which acts as an exhaustive thematic classification of soil types or statuses (e.g., background value, industrial). These zones serve as policy areas for soil usage and reuse, fitting the definition of an exhaustive coverage layer.","The dataset represents a soil quality map divided into zones that cover the area. The metadata and polygon topology hints confirm that these zones partition the study area without overlap, characteristic of a tessellation.","The map depicts soil quality zones across Amsterdam, which acts as an exhaustive thematic classification of soil types or statuses (e.g., background value, industrial). These zones serve as policy areas for soil usage and reuse, fitting the definition of an exhaustive coverage layer.",Region Q5 CoverageDS,,0.95,1.0,0.9,V3_NEWDATA_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,Bomen,"Zie bomen.amsterdam.nl voor uitgebreide informatie over de bomen.


De weergave van bomen op deze kaart is niet `real-time`. Op deze kaart kunnen bomen staan die inmiddels zijn omgewaaid of gekapt. In vrijwel alle gevallen wordt een omgewaaide of gekapte boom herplant. Zodra de boom geplant is en onze inspecteurs weer hun ronde doen (om de drie jaar) komt de boom weer op de kaart.

Deze Maps-kaart maakt gebruik van een Web Map Service (WMS) van het gemeentelijk Datapunt. Deze WMS is verbonden met de dataset van het gemeentelijk beheersysteem GISIB. De kaart van het Datapunt is identiek aan deze kaart op Maps Amsterdam.",https://maps.amsterdam.nl/bomen,PointDS,ObjectDS,"Geometry: The dataset represents individual tree locations in Amsterdam, confirmed by the high feature count of points, the nature of the data (tree inventory), and the geometry type counts. | Entity: The map layer represents individual trees, which are discrete, identifiable physical assets managed by the municipality. Despite having several numeric and categorical attributes, the trees themselves are the primary entities being mapped, not a statistical summary or a spatial measurement phenomenon.","The dataset represents individual tree locations in Amsterdam, confirmed by the high feature count of points, the nature of the data (tree inventory), and the geometry type counts.","The map layer represents individual trees, which are discrete, identifiable physical assets managed by the municipality. Despite having several numeric and categorical attributes, the trees themselves are the primary entities being mapped, not a statistical summary or a spatial measurement phenomenon.","Branch A, Q4, Answer A (ObjectDS)",,1.0,1.0,1.0,V3_NEWDATA_gemini
