RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,MapDescriptionTitle,MapDescription,MapDescriptionSource,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTGeometryReasoningSummary,GPTEntityReasoningSummary,GPTEntityDecisiveRule,GPTError,GPTConfidence,GPTGeometryConfidence,GPTEntityConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,Woningcorporatiebezit 2020 Metropoolregio Amsterdam,"Deze interactieve website van de woningen van corporaties in de Metropoolregio Amsterdam is gelanceerd op 1 juli 2019 op de Jaarbijeenkomst van de Amsterdamse Federatie van Woningcorporaties (AFWC) https://www.afwc.nl Medio 2020 is het corporatiebezit op de kaart geactualiseerd (peildatum 1-1-2020). 

De website is de opvolger van de papieren Atlas Sociale Woningbouw, waarvan de eerste editie verscheen in 1992, ter gelegenheid van het 75-jarig jubileum van de AFWC. Deze negende editie (2020) verschijnt net als de vorige editie (2019) alleen als website en niet op papier. Iedere corporatie heeft een eigen kleur. Daarbij is zoveel mogelijk aangesloten bij de kleuren in de eerdere edities van de Atlas.

De website 
Woningcorporatiebezit 2020
is tot stand gekomen in opdracht van de Amsterdamse Federatie van Woningcorporaties en vervaardigd door de afdeling Ruimte en Duurzaamheid van de gemeente Amsterdam, team Beeld en Data. Vanaf editie 2019 is het corporatiebezit van 30 woningcorporaties in de gehele Metropoolregio Amsterdam afgebeeld. De editie daarvoor (2017) bevatte Amsterdam, Zaanstreek-Waterland, Amstel-Meerlanden en Almere. Vanaf 2019 is de kaart uitgebreid met Zuid-Kennemerland, IJmond, Gooi- en Vechtstreek en Lelystad.

Op de website staan zo`n 400.000 woningen aangegeven in de gemeenten Aalsmeer, Almere, Amstelveen, Amsterdam, Beemster, Beverwijk, Blaricum, Bloemendaal, Diemen, Edam-Volendam, Gooise Meren, Haarlem, Haarlemmermeer, Heemskerk, Heemstede, Hilversum, Huizen, Landsmeer, Laren, Lelystad, Oostzaan, Ouder-Amstel, Purmerend, Uithoorn, Velsen, Waterland, Weesp, Wijdemeren, Wormerland, Zaanstad en Zandvoort. Het bezit van de aangesloten corporaties buiten deze gemeenten staat niet op de kaart. 

Naast de kaart van het 
corporatiebezit
in verschillende kleuren en met een filter op het 
percentage adressen
van de betreffende corporatie per deel van een blok, is er ook een aparte 
bouwperiodekaart
.


Percentage corporatieadressen

De kaart corporatieadressen bevat per (deel van een) bouwblok het percentage woningen dat de betreffende corporatie in bezit heeft. De overige adressen kunnen koopwoningen zijn of particuliere huurwoningen. Als het percentage lager ligt dan 100, wil het niet per definitie zeggen dat de corporatie woningen heeft verkocht. Het blok kan als gemengd blok van huur- en koopwoningen zijn opgeleverd, of er hebben al vanaf de start naast corporatiewoningen, particuliere huurwoningen in het blok gezeten. Bijvoorbeeld omdat de corporatie panden heeft aangekocht in voormalig particulier bezit. De kaart is dus slechts als indicatie te gebruiken. De percentages worden alleen afgebeeld bij woonblokken waarin uitsluitend zelfstandige woningen voorkomen. Bij blokken met onzelfstandige eenheden wordt het percentage niet vermeld. Deze komen namelijk als losse eenheid voor in de databank van de corporaties, terwijl deze in de BAG vaak gezamenlijk een BAG-object vormen. Meenemen van de onzelfstandige eenheden zou dan tot percentages boven de 100 procent kunnen leiden.


Bouwperiodekaart

Bij het 90-jarig bestaan van de Amsterdamse Federatie van Woningcorporaties in 2007 werd een speciale bouwjarenkaart uitgebracht met zeven bouwperioden. Ter gelegenheid van het 100-jarige bestaan van de Federatie in 2017 is deze kaart aangevuld met de periode 2008-2016 en uitgebreid met de regio. De acht bouwperioden hebben niet dezelfde lengte, maar markeren omslagen in bouwstijl of bijzondere gebeurtenissen. Voor de kaart 2020 is de laatste bouwperiode verlengd tot en met 2019.

• Vóór 1909: De voorlopers van de woningcorporaties
• 1909 - 1918: De eerste woningwetwoningen
• 1919 - 1945: Periode `20 – `40
• 1946 - 1966: Vroeg naoorlogse stadsuitbreidingen
• 1967 - 1975: Hoogbouw
• 1976 - 1989: Stadsvernieuwing en uitbreiding
• 1990 - 2007: Differentiatie en menging in hoge dichtheid
• 2008 – 2019: Transformatie, duurzaamheid en tijdelijkheid als kans


Bronvermelding

Bron corporatiebezit: Databank, Amsterdamse Federatie van Woningcorporaties / Platform Woningcorporaties Noordvleugel Randstad (PWNR), peildatum 1-1-2020
Aangevuld met gegevens van de corporaties in de Metropoolregio Amsterdam die niet voorkomen in de databank van de AFWC.

Bron totaal aantal adressen Kadaster/BAG. Bouwjaar en bouwperiode zijn afkomstig van de betreffende corporatie aangevuld met de gegevens uit het Kadaster/BAG (panden met een onbekend bouwjaar worden niet ingekleurd).

Aan deze kaart kunnen geen rechten worden ontleend.",https://maps.amsterdam.nl/afwc_2020,PlainVectorRegion,ObjectDS,"Geometry: The layer represents housing association ownership polygons by block/part-of-block, not a complete regional partition. Topology hints show very low fill ratios and a suggested PlainVectorRegion, supporting isolated thematic regions rather than a tessellation. | Entity: The layer maps housing association property and housing blocks/adresses as discrete bounded places/assets, with counts and percentages as attributes. The decisive rule is Region Q7 ObjectDS: identifiable real-world bounded entities are the mapped feature, not the numeric values.","The layer represents housing association ownership polygons by block/part-of-block, not a complete regional partition. Topology hints show very low fill ratios and a suggested PlainVectorRegion, supporting isolated thematic regions rather than a tessellation.","The layer maps housing association property and housing blocks/adresses as discrete bounded places/assets, with counts and percentages as attributes. The decisive rule is Region Q7 ObjectDS: identifiable real-world bounded entities are the mapped feature, not the numeric values.",Region Q7 ObjectDS,,0.94,0.93,0.95,V3_gpt
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The layer contains 425 point features and the map description refers to clickable archaeological locations, indicating point-based sites rather than areas or lines. | Entity: The layer maps individual archaeological cesspits/finding locations with addresses, photos, and descriptions, so the point features represent discrete identifiable objects/places rather than measurements, events, or a network. The archeological site itself is the mapped thing.","The layer contains 425 point features and the map description refers to clickable archaeological locations, indicating point-based sites rather than areas or lines.","The layer maps individual archaeological cesspits/finding locations with addresses, photos, and descriptions, so the point features represent discrete identifiable objects/places rather than measurements, events, or a network. The archeological site itself is the mapped thing.",Point Q4A -> ObjectDS,,0.98,0.99,0.97,V3_gpt
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The layer represents selectable archaeological locations and the dataset contains only Point geometries (92 points), matching a point-based public map of sites rather than areas or lines. | Entity: The points mark identifiable archaeological find locations/objects with addresses, object codes, photos, and descriptions of finds; they are discrete mapped objects rather than measurements, events, or quantities. Decisive rule: PointDS branch Q4A -> ObjectDS.","The layer represents selectable archaeological locations and the dataset contains only Point geometries (92 points), matching a point-based public map of sites rather than areas or lines.","The points mark identifiable archaeological find locations/objects with addresses, object codes, photos, and descriptions of finds; they are discrete mapped objects rather than measurements, events, or quantities. Decisive rule: PointDS branch Q4A -> ObjectDS.",Point branch Q4A (distinct real-world object/place/facility),,0.98,0.98,0.98,V3_gpt
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PlainVectorRegion,ObjectDS,"Geometry: The layer consists of selected archaeological site polygons, not a complete area partition. Map text says each polygon is a single site/spot, and topology hints show sparse coverage with low fill and overlap, supporting isolated regions rather than a tessellation. | Entity: The layer maps selectable archaeological findspots/sites with names, addresses, research descriptions, photos, and historical notes; each polygon represents a specific bounded site/object rather than a reporting unit, coverage class, or numeric amount. Decisive rule: Region Q7 ObjectDS (identifiable real-world bounded features).","The layer consists of selected archaeological site polygons, not a complete area partition. Map text says each polygon is a single site/spot, and topology hints show sparse coverage with low fill and overlap, supporting isolated regions rather than a tessellation.","The layer maps selectable archaeological findspots/sites with names, addresses, research descriptions, photos, and historical notes; each polygon represents a specific bounded site/object rather than a reporting unit, coverage class, or numeric amount. Decisive rule: Region Q7 ObjectDS (identifiable real-world bounded features).",Region Q7 ObjectDS,,0.965,0.97,0.96,V3_gpt
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,Barbecueën in parken en plantsoenen,"U ziet op deze kaart waar u wel en niet mag barbecueën. 
Op de rode plekken mag u niet barbecueën.
Op de gele plekken gebruikt u de aangewezen barbecueplekken.
U vindt alle barbecueregels op de website van de gemeente",https://maps.amsterdam.nl/bbq,PlainVectorRegion,PatchDS,"Geometry: This layer maps barbecue-allowed and barbecue-forbidden park areas as separate polygons, not a complete partition of the city. The polygons are isolated with no shared boundaries, which strongly supports PlainVectorRegion. | Entity: The layer maps where barbecue is allowed or forbidden in parks and plantsoenen, i.e. selected bounded areas where a rule applies rather than the parks as objects or a full-area classification. The decisive branch is PlainVectorRegion Q9 PatchDS.","This layer maps barbecue-allowed and barbecue-forbidden park areas as separate polygons, not a complete partition of the city. The polygons are isolated with no shared boundaries, which strongly supports PlainVectorRegion.","The layer maps where barbecue is allowed or forbidden in parks and plantsoenen, i.e. selected bounded areas where a rule applies rather than the parks as objects or a full-area classification. The decisive branch is PlainVectorRegion Q9 PatchDS.",Region Q9 PatchDS,,0.98,0.98,0.98,V3_gpt
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,Cultuurhistorische waarden,"De geschiedenis van een gebied kan een inspiratiebron zijn voor de ontwikkeling van de stad. Op deze kaart zijn gebiedsgericht cultuurhistorische waarden en historische stedenbouwkundige ontwikkelingen in beeld gebracht.

Cultuurhistorische waarden per gebied
Bij cultuurhistorische waarden gaat het over sporen, objecten, patronen en structuren die zichtbaar of niet zichtbaar onderdeel uitmaken van onze leefomgeving en een beeld geven van een historische situatie of ontwikkeling. In veel gevallen bepalen deze cultuurhistorische waarden de identiteit van een plek of gebied. Ze dragen bij aan een aantrekkelijke woonomgeving en vestigingsklimaat en bieden aanknopingspunten voor toekomstige ontwikkelingen. Het is daarom van belang deze cultuurhistorische waarden te betrekken in de planvorming en mee te wegen in de besluitvorming over de inrichting van een gebied (via bijvoorbeeld een bestemmingsplan, stedenbouwkundig plan of herinrichtingsplan voor de openbare ruimte). 

Per gebied kan doorgeklikt worden naar meer informatie over de historisch stedenbouwkundige ontwikkeling van een gebied en de bovengrondse cultuurhistorische waarden. Deze informatie is afkomstig uit de Cultuurhistorische Verkenningen (CHV’s) die door Bureau Monumenten & Archeologie zijn gemaakt. De CHV’s zijn meestal gemaakt in het kader van de actualisatie van een bestemmingsplan. Dit verklaart waarom de CHV’s nog niet heel Amsterdam beslaan en waarom de grenzen niet altijd overeenkomen met de historische bouwperiodes waarin de stad zich ontwikkelde. 

Gebieden met beschermde status
Een aantal gebieden in Amsterdam is zodanig van cultuurhistorische waarde dat daaraan een beschermde status is toegekend: UNESCO Werelderfgoed en rijks en gemeentelijk beschermde stads- en dorpsgezichten. De begrenzing van deze beschermde gebieden is op deze kaart te vinden met daaraan gekoppeld meer informatie. 

Bovengronds en ondergronds
De kaart is dynamisch en wordt regelmatig aangevuld met nieuwe informatie over de bovengrondse cultuurhistorie van de stad. Voor ondergrondse cultuurhistorische waarden kunt u terecht op de archeologische kaart: http://maps.amsterdam.nl/archeologie.

Bron beelden: BMA, Beeldbank Stadsarchief Amsterdam of zoals vermeld in de rapportages die u kunt downloaden.",https://maps.amsterdam.nl/cultuurhistorie,PlainVectorRegion,PatchDS,"Geometry: This layer contains 10 polygon areas for protected city/village districts and conservation areas, but they are isolated named regions rather than a full partition of Amsterdam. Topology hints show no shared boundaries or adjacency, which supports PlainVectorRegion. | Entity: The layer maps protected conservation areas / culturally historic areas as bounded zones where a protection or heritage condition applies, not reporting units or full-area land-use coverage. The decisive rule is the PlainVectorRegion branch, Q9 PatchDS: selected bounded applicability/phenomenon areas.","This layer contains 10 polygon areas for protected city/village districts and conservation areas, but they are isolated named regions rather than a full partition of Amsterdam. Topology hints show no shared boundaries or adjacency, which supports PlainVectorRegion.","The layer maps protected conservation areas / culturally historic areas as bounded zones where a protection or heritage condition applies, not reporting units or full-area land-use coverage. The decisive rule is the PlainVectorRegion branch, Q9 PatchDS: selected bounded applicability/phenomenon areas.",Region Q9 PatchDS,,0.955,0.97,0.94,V3_gpt
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,Wilde bijen,"Wilde bijen

Wilde bijen zijn in 2014, 2015 en 2016 op een aantal locaties in Amsterdam geïnventariseerd. Dit is een herhaling van het onderzoek van 1998. Een uitgebreid verslag van de bevindingen van deze twee onderzoeken kunt u binnenkort hier vinden. In 2017 is op vijftien plaatsen in het Amsterdamse bos waargenomen. Het verslag vindt u hier.
Ook in 2017 is op een aantal plaatsen in Nieuwwest geïnventariseerd. Hier vindt u het bijbehorende verslag. 
In 2019 is er in elf stadsparken geïnventariseerd. Het verslag van dit onderzoek vindt u hier.",https://maps.amsterdam.nl/bijen,PointDS,ObjectDS,"Geometry: The layer maps wild bee observations at specific surveyed locations, and the dataset contains only Point geometries. | Entity: The layer maps discrete survey locations/places where wild bees were inventoried and observed, not a continuous field, route system, or numeric magnitude layer. The point features are identifiable places such as parks, streets, and named locations, with year and observed species as attributes. Decisive rule: PointDS branch Q4A -> ObjectDS.","The layer maps wild bee observations at specific surveyed locations, and the dataset contains only Point geometries.","The layer maps discrete survey locations/places where wild bees were inventoried and observed, not a continuous field, route system, or numeric magnitude layer. The point features are identifiable places such as parks, streets, and named locations, with year and observed species as attributes. Decisive rule: PointDS branch Q4A -> ObjectDS.","PointDS branch, Q4A ObjectDS",,0.97,0.99,0.95,V3_gpt
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,Honingbijen,"Op elke locatie staan een x-aantal bijenkasten = bijenvolken.

De dataset voor deze kaart wordt regelmatig 'bijgewerkt'. 
U kunt zelf wijzigingen of aanvullingen mailen naar onderstaand contactpersoon.",https://maps.amsterdam.nl/honingbijen,PointDS,AmountDS,"Geometry: The layer represents bee hive locations ('op elke locatie') and the dataset contains only point features, so it is a point dataset. | Entity: The layer maps honey-bee locations with the main meaning being the number of hives/colonies at each point ('Op elke locatie staan een x-aantal bijenkasten = bijenvolken'); the numeric magnitude is the phenomenon, so Point Amount check leads to AmountDS.","The layer represents bee hive locations ('op elke locatie') and the dataset contains only point features, so it is a point dataset.","The layer maps honey-bee locations with the main meaning being the number of hives/colonies at each point ('Op elke locatie staan een x-aantal bijenkasten = bijenvolken'); the numeric magnitude is the phenomenon, so Point Amount check leads to AmountDS.",Point Amount check (Q5): numeric magnitude is the main mapped phenomenon,,0.975,0.99,0.96,V3_gpt
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,Bodemkwaliteit,"De Bodemkwaliteitskaart geeft informatie over de diffuse bodemkwaliteit in zones.
Binnen een zone is de gemiddelde kwaliteit min of meer gelijk, terwijl er tussen zones duidelijke verschillen in kwaliteit kunnen zijn.
De kaarten worden in Amsterdam gebruikt voor het bepalen van de mogelijkheden van hergebruik voor vrijkomende grond of gekeurde grond.
Ze zijn bedoeld voor iedereen die van plan is grond toe te passen in Amsterdam (stadsdelen, aannemers, adviesbureau`s, etc.). 

De kaart geldt niet voor lokaties die historisch zijn belast door puntbronnen (bijv. fabriekslokaties of benzinestations).
Daarom dient vóór het gebruik van de kaart altijd een historisch onderzoek te worden uitgevoerd om te weten of de herkomst- of toepassingslokatie niet historisch belast is.",https://maps.amsterdam.nl/bodemkwaliteit,VectorTessellation,PatchDS,"Geometry: The layer is a zone-based soil quality map with many adjacent polygon areas intended to partition Amsterdam into diffuse quality zones. Topology hints show substantial shared boundaries and no overlap, strongly supporting a tessellation. | Entity: The layer maps soil-quality zones where a condition applies across bounded areas, not reporting units, objects, or a numeric magnitude. The zone-based map description and tessellated zone polygons fit selected phenomenon areas best.","The layer is a zone-based soil quality map with many adjacent polygon areas intended to partition Amsterdam into diffuse quality zones. Topology hints show substantial shared boundaries and no overlap, strongly supporting a tessellation.","The layer maps soil-quality zones where a condition applies across bounded areas, not reporting units, objects, or a numeric magnitude. The zone-based map description and tessellated zone polygons fit selected phenomenon areas best.",Region Q9 PatchDS,,0.975,0.99,0.96,V3_gpt
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,Bomen,"Zie bomen.amsterdam.nl voor uitgebreide informatie over de bomen.


De weergave van bomen op deze kaart is niet `real-time`. Op deze kaart kunnen bomen staan die inmiddels zijn omgewaaid of gekapt. In vrijwel alle gevallen wordt een omgewaaide of gekapte boom herplant. Zodra de boom geplant is en onze inspecteurs weer hun ronde doen (om de drie jaar) komt de boom weer op de kaart.

Deze Maps-kaart maakt gebruik van een Web Map Service (WMS) van het gemeentelijk Datapunt. Deze WMS is verbonden met de dataset van het gemeentelijk beheersysteem GISIB. De kaart van het Datapunt is identiek aan deze kaart op Maps Amsterdam.",https://maps.amsterdam.nl/bomen,PointDS,ObjectDS,"Geometry: The layer represents individual trees, and the dataset contains only point features (70,000 points). | Entity: The layer maps individual trees as discrete, countable real-world objects with species and management attributes. The numeric fields are just object attributes, not the main phenomenon, so the PointDS branch resolves to ObjectDS.","The layer represents individual trees, and the dataset contains only point features (70,000 points).","The layer maps individual trees as discrete, countable real-world objects with species and management attributes. The numeric fields are just object attributes, not the main phenomenon, so the PointDS branch resolves to ObjectDS.",PointDS Q4 A -> ObjectDS,,0.985,0.99,0.98,V3_gpt
